Close,Volume,EMA5,EMA13,EMA26,MACD,SIGNAL,RSI,ROC,worked?,percentage_returns given
1161.3,3406584,1164.553602,1163.884475,1154.176775,10.17067315,12.97286086,53.01244493,-0.180505415,0,0.542495479
1167.6,6004042,1165.569068,1164.415264,1155.171088,9.676752769,12.31363924,55.09200231,-1.530676787,0,-1.057725248
1155.25,4465361,1162.129379,1163.105941,1155.176933,8.194316539,11.4897747,50.38444485,-2.411724954,0,-0.108201688
1154,1901044,1159.419586,1161.805092,1155.089753,6.839766028,10.55977297,49.91949619,-2.269647696,0,-0.558925477
1131.8,6279161,1150.213057,1157.51865,1153.364586,3.929622283,9.233742829,42.43063613,-4.287526427,0,1.39158862
1137.15,4036351,1145.858705,1154.608843,1152.163506,2.031593738,7.793313011,44.58805468,-2.965270074,0,0.91456712
1140.45,2038584,1144.055803,1152.586151,1151.295839,0.784630135,6.391576436,45.93395357,-0.549378679,0,1.942215792
1124.2,2406651,1137.437202,1148.530987,1149.28874,-1.497573601,4.813746428,40.69254518,-3.46485767,1,4.202988792
1147.55,3881772,1140.808135,1148.390846,1149.159944,-1.405880533,3.569821036,49.59319206,-1.708779443,0,2.082697922
1127,2968871,1136.205423,1145.335011,1147.518467,-2.957336043,2.26438962,43.41748643,-2.953586498,1,3.944099379
1111.25,3601441,1127.886949,1140.465723,1144.831914,-5.395572285,0.732397239,39.37086231,-4.826139089,1,5.417322835
1113.4,4463029,1123.057966,1136.599191,1142.503624,-7.072873361,-0.828656881,40.19034925,-3.622592512,1,5.213759655
1124.25,4512787,1123.455311,1134.835021,1141.151503,-7.440868525,-2.15109921,44.28317251,-2.577989601,1,4.820991772
1162.6,8522183,1136.50354,1138.801447,1142.740281,-4.585128342,-2.637905036,55.7970855,2.721328857,0,2.158954068
1171.45,10613519,1148.15236,1143.465526,1144.866927,-1.589489984,-2.428222026,57.95632028,3.016312712,0,1.387169747
1133.2,12372542,1143.16824,1141.999022,1144.00271,-2.27564808,-2.397707236,47.22015431,-0.635713973,1,4.80938934
1125.2,5198970,1137.178827,1139.599162,1142.609917,-3.425479658,-2.603261721,45.32882938,0.088952144,1,5.554568077
1125.95,5215190,1133.435885,1137.649282,1141.375849,-4.22747899,-2.928105175,45.5490208,-1.882270925,1,5.484257738
1132.85,4262771,1133.24059,1136.96367,1140.744304,-4.257222296,-3.193928599,47.63844709,0.519077196,1,5.883391446
1178.45,12136346,1148.310393,1142.890289,1143.537319,-0.594403264,-2.674023532,58.87082678,6.047244094,0,1.786244643
1187.7,10915319,1161.440262,1149.291676,1146.808629,3.019992311,-1.535220363,60.71194372,6.673253099,0,0.993516881
1154.5,4263108,1159.126841,1150.035722,1147.37836,3.168934801,-0.59438933,51.75667192,2.690682677,1,3.897791252
1160.35,5797089,1159.534561,1151.50919,1148.339222,3.716181084,0.267724752,53.07024838,-0.193531739,1,3.373981988
1176.45,5651042,1165.173041,1155.072163,1150.421502,5.386916137,1.291563029,56.57466676,0.426821461,0,1.959284287
1185.2,3831685,1171.848694,1159.37614,1152.997687,7.332512932,2.49975301,58.39311023,4.58877515,0,1.206547418
1199.5,2755839,1181.065796,1165.10812,1156.442303,9.914020245,3.982606457,61.24906607,6.60327053,0,-0.204251772
1197.05,5147521,1186.393864,1169.671246,1159.45028,11.62814683,5.511714531,60.48305563,6.314667614,0,-1.173718725
1182.55,2666115,1185.112576,1171.511068,1161.161371,11.68191384,6.745754393,56.01778532,4.387165115,0,0.570800389
1173.1,3011684,1181.108384,1171.738058,1162.045714,10.83706562,7.564016638,53.25816871,-0.453986168,0,1.82848862
1183,2319480,1181.738923,1173.346907,1163.597883,10.84139176,8.219491663,55.71924943,-0.395722826,0,0.976331361
1165.55,2859278,1176.342615,1172.233063,1163.742484,9.329209776,8.441435286,50.65635373,0.957124296,0,2.488095749
1170.7,1891752,1174.461743,1172.014054,1164.257856,8.448962239,8.442940677,52.0413765,0.89197225,0,2.037242675
1168,1591431,1172.307829,1171.440618,1164.535052,7.447640525,8.243880646,51.22950545,-0.71826257,0,2.273116438
1180.75,1655853,1175.121886,1172.770529,1165.736159,7.595349831,8.114174483,54.81434688,-0.375464057,0,1.168748677
1189.3,2216047,1179.847924,1175.131882,1167.481629,8.306571084,8.152653803,57.09202038,-0.850354314,0,0.441436139
1194.55,2805987,1184.748616,1177.905899,1169.486693,9.187937353,8.359710513,58.47611801,-0.208846748,0,2.214222929
1189.95,3102502,1186.482411,1179.626485,1171.002494,9.406809075,8.569130225,56.74881446,0.625766352,1,3.222824488
1182.9,4759799,1185.288274,1180.09413,1171.88379,8.908696503,8.637043481,54.11072539,0.835393402,1,3.838025192
1183.2,3569830,1184.592183,1180.537826,1172.722028,8.440845382,8.597803861,54.20827745,0.016906171,1,3.811697093
1179.5,4237660,1182.894788,1180.389565,1173.2241,7.682946694,8.414832428,52.71972694,1.196859852,1,4.137346333
1193.85,2818402,1186.546526,1182.312484,1174.751945,8.146325822,8.361131107,57.5844481,1.977449389,1,3.178791305
1184.9,4769221,1185.997684,1182.682129,1175.503652,7.702576411,8.229420168,53.86209927,1.446917808,1,3.958139927
1221,4870285,1197.665122,1188.156111,1178.873752,10.14690293,8.612916719,63.97698115,3.408850307,0,1.506961507
1228.3,4450719,1207.876748,1193.890952,1182.534956,12.52867552,9.396068479,65.61843605,3.279239889,0,0.903688024
1214.4,2869897,1210.051166,1196.820816,1184.895329,13.14312783,10.14548035,60.01109438,1.661713616,0,2.058629776
1216.7,1694467,1212.267444,1199.6607,1187.251231,13.65823288,10.84803085,60.61089237,2.247993613,0,2.938275664
1211.7,3161533,1212.078296,1201.3806,1189.062251,13.50729544,11.37988377,58.55474411,2.434694395,1,3.990261616
1231.8,9860170,1218.652197,1205.726228,1192.22801,14.83852912,12.07161284,63.86209132,4.107505071,0,2.484169508
1220.8,2499178,1219.368131,1207.879624,1194.344454,14.83492555,12.62427538,59.38054235,3.50148368,1,3.407601573
1239.4,2135078,1226.045421,1212.382535,1197.681902,16.14680394,13.32878109,63.98307223,3.815387193,0,2.856220752
1220.85,2355431,1224.313614,1213.592173,1199.398057,15.51084765,13.7651944,57.04133984,3.034011309,1,4.4190523
1237.45,2019092,1228.692409,1217.000434,1202.21672,16.16004602,14.24416473,61.10777986,1.347256347,1,3.539536951
1252.45,3338113,1236.611606,1222.064658,1205.937703,17.68109835,14.93155145,64.38817201,1.966132052,0,2.299492994
1260.05,3229939,1244.424404,1227.491135,1209.946022,19.27757983,15.80075713,65.95500712,3.759057971,0,1.682472918
1262.4,2585645,1250.416269,1232.478116,1213.831501,20.49616127,16.73983796,66.4465988,3.756061478,0,1.493187579
1258.5,3919910,1253.110846,1236.195528,1217.140279,20.90620472,17.57311131,64.77496968,3.862342164,0,1.807707588
1274.8,2883464,1260.340564,1241.710452,1221.41137,22.28950139,18.51638933,68.35791327,3.490826433,0,0.505961719
1239.7,3799424,1253.460376,1241.423245,1222.766083,20.31926942,18.87696535,55.31108447,1.548165138,1,3.351617327
1281.25,9978880,1262.723584,1247.112781,1227.098225,21.85861167,19.47329461,64.05657575,3.376633855,0,-0.265365854
1267.4,4107423,1264.282389,1250.010955,1230.083542,21.71070476,19.92077664,59.85196101,3.81291723,0,0.824522645
1241.6,3772850,1256.721593,1248.80939,1230.936613,19.28928817,19.79447895,52.8877461,0.335367086,1,3.865979381
1243.15,2685901,1252.197729,1248.000906,1231.841308,17.29599269,19.2947817,53.23976594,-0.742544613,1,5.152234244
1246.55,2899395,1250.315152,1247.793634,1232.930841,15.8084137,18.5975081,54.05080736,-1.071386056,1,7.071517388
1247.85,2171559,1249.493435,1247.801686,1234.035964,14.56648242,17.79130296,54.37664608,-1.15256654,1,8.486596947
1272.45,3865589,1257.145623,1251.322874,1236.881448,15.3898527,17.31101291,60.13725558,1.108462455,1,6.389249086
1277.85,2241752,1264.047082,1255.112463,1239.916155,16.29032967,17.10687626,61.29261833,0.239253216,1,5.93966428
1270,3476071,1266.031388,1257.239254,1242.144588,16.18397596,16.9222962,58.6322117,2.444139711,1,6.594488189
1289.6,5498409,1273.887592,1261.862218,1245.659804,17.4797504,17.03378704,62.95568261,0.651707317,1,4.97441067
1307.2,4983300,1284.991728,1268.339044,1250.218337,19.69974745,17.56697912,66.35599777,3.140287202,1,3.561046512
1334.7,2415072,1301.561152,1277.81918,1256.476238,23.40829504,18.73524231,70.85724521,7.498389175,0,1.427287031
1353.75,4063726,1318.957435,1288.66644,1263.681702,27.56674918,20.50154368,73.50199937,8.896754213,0,-0.631578947
1345.2,2512861,1327.704956,1296.742663,1269.720094,29.82859503,22.36695395,70.41337096,7.913842204,0,-1.839875112
1284,8509951,1313.136638,1294.922283,1270.777865,26.37871819,23.1693068,53.18555586,2.89698281,1,3.804517134
1284.25,5607678,1303.507758,1293.397671,1271.775801,23.39515408,23.21447625,53.23588981,0.927344886,1,3.784309909
1298.85,3322499,1301.955172,1294.176575,1273.781297,21.95566476,22.96271396,56.1978173,1.643385374,0,2.617700273
1301.4,2987244,1301.770115,1295.208493,1275.827127,20.78107155,22.52638547,56.7135043,2.472440945,0,2.416628247
1320.45,5949916,1307.996743,1298.814423,1279.132525,21.143643,22.24983698,60.45874996,2.39221464,0,2.093983112
1294.35,6636120,1303.447829,1298.176648,1280.259745,19.10470447,21.62081048,53.6142975,-0.983017136,1,4.759145517
1317.4,9748079,1308.098553,1300.922841,1283.010875,19.12827452,21.12230329,58.12317466,-1.296171424,1,4.535448611
1332.85,17672340,1316.349035,1305.483864,1286.702662,20.16123368,20.93008936,60.8688496,-1.543859649,1,3.818884346
1327.9,5580845,1320.199357,1308.686169,1289.754317,20.34590272,20.81325204,59.52231784,-1.286054118,1,4.205888998
1322.55,3459508,1320.982904,1310.666716,1292.183627,19.83194368,20.61699036,58.02816974,3.002336449,1,4.627424294
1316.7,2559432,1319.55527,1311.528614,1293.999655,18.73659749,20.24091179,56.36212023,2.526766595,1,5.092276145
1348.1,5852869,1329.07018,1316.753098,1298.007088,20.16974111,20.22667765,62.57348316,3.791815837,0,2.644462577
1355.95,3837851,1338.03012,1322.352655,1302.299155,21.68893065,20.51912825,63.9548064,4.191639773,0,2.050223091
1377.15,3086123,1351.07008,1330.180847,1307.843662,24.32317966,21.27993854,67.44888496,4.293990685,0,0.479250626
1383.75,3468461,1361.963387,1337.833583,1313.466354,26.63635846,22.35122252,68.47348422,6.906941708,0,-0.74435411
1373.25,3681109,1365.725591,1342.893071,1317.894772,27.30752295,23.34248261,64.96976335,4.239410961,0,0.014563991
1373.45,3246616,1368.300394,1347.258347,1322.009974,27.53812165,24.18161041,65.00649327,3.046104213,0,-0.400451418
1351,3204985,1362.533596,1347.792869,1324.157383,25.6140822,24.46810477,57.69380498,1.739588824,0,1.254626203
1365.1,3971998,1363.389064,1350.265316,1327.19017,24.93953184,24.56239019,60.68513649,3.217269668,0,1.087832393
1354.05,2337853,1360.276043,1350.805985,1329.179787,23.2453453,24.29898121,57.26771695,2.836637047,0,2.318969019
